,data,valor,modalidade,longo_prazo_deflacionado
149,2014-03,2.25,Empréstimo sem consignação em folha,64997728849.941185
150,2014-03,2.25,Habitacional,519154571954.56274
151,2014-03,2.25,Outros créditos,60947891622.231316
152,2014-03,2.25,Rural e agroindustrial,144482808361.3629
153,2014-03,2.25,Veículos,167294339018.53378
154,2014-04,2.22,Cartão de crédito,3365215937.264569
155,2014-04,2.22,Empréstimo com consignação em folha,251653069731.77014
156,2014-04,2.22,Empréstimo sem consignação em folha,64309782633.696266
157,2014-04,2.22,Habitacional,524839912816.2103
158,2014-04,2.22,Outros créditos,61140098491.71928
159,2014-04,2.22,Rural e agroindustrial,148849455644.44678
160,2014-04,2.22,Veículos,164132541243.9198
161,2014-05,2.23,Cartão de crédito,3374354576.164662
162,2014-05,2.23,Empréstimo com consignação em folha,253386098157.03583
163,2014-05,2.23,Empréstimo sem consignação em folha,63420098066.77403
164,2014-05,2.23,Habitacional,534070661907.8027
165,2014-05,2.23,Outros créditos,61798250067.343864
166,2014-05,2.23,Rural e agroindustrial,153087992690.05423
167,2014-05,2.23,Veículos,160785664744.54358
168,2014-06,2.24,Cartão de crédito,3233497594.22509
169,2014-06,2.24,Empréstimo com consignação em folha,255607639535.82297
170,2014-06,2.24,Empréstimo sem consignação em folha,60926691195.1381
171,2014-06,2.24,Habitacional,543322428988.6993
172,2014-06,2.24,Outros créditos,63197708620.27608
173,2014-06,2.24,Rural e agroindustrial,158899147804.8882
174,2014-06,2.24,Veículos,157518656286.94788
175,2014-07,2.25,Cartão de crédito,3111047139.158447
176,2014-07,2.25,Empréstimo com consignação em folha,257611890016.51477
177,2014-07,2.25,Empréstimo sem consignação em folha,60420503579.56073
178,2014-07,2.25,Habitacional,553512286524.153
179,2014-07,2.25,Outros créditos,64338428144.00362
180,2014-07,2.25,Rural e agroindustrial,159923105468.22766
181,2014-07,2.25,Veículos,155047003884.85147
182,2014-08,2.25,Cartão de crédito,2952460597.303864
183,2014-08,2.25,Empréstimo com consignação em folha,259185880611.5298
184,2014-08,2.25,Empréstimo sem consignação em folha,59934284674.50624
185,2014-08,2.25,Habitacional,569320835678.6431
186,2014-08,2.25,Outros créditos,61444738076.4112
187,2014-08,2.25,Rural e agroindustrial,159131688002.81775
188,2014-08,2.25,Veículos,153512233072.17258
189,2014-09,2.21,Cartão de crédito,2929693862.8375254
190,2014-09,2.21,Empréstimo com consignação em folha,259049870922.18048
191,2014-09,2.21,Empréstimo sem consignação em folha,60730950507.68341
192,2014-09,2.21,Habitacional,576950094555.4263
193,2014-09,2.21,Outros créditos,59114491173.40256
194,2014-09,2.21,Rural e agroindustrial,159708349946.6266
195,2014-09,2.21,Veículos,151939586993.29913
196,2014-10,2.26,Cartão de crédito,2912311012.7447934
197,2014-10,2.26,Empréstimo com consignação em folha,263764671121.9838
198,2014-10,2.26,Empréstimo sem consignação em folha,60237449980.47257
199,2014-10,2.26,Habitacional,587431000983.0466
200,2014-10,2.26,Outros créditos,61271821032.73353
201,2014-10,2.26,Rural e agroindustrial,158833708566.26575
202,2014-10,2.26,Veículos,150342314690.56216
203,2014-11,2.27,Cartão de crédito,2901183382.7001977
204,2014-11,2.27,Empréstimo com consignação em folha,265616276451.2025
205,2014-11,2.27,Empréstimo sem consignação em folha,59621470534.29342
206,2014-11,2.27,Habitacional,596260072317.7822
207,2014-11,2.27,Outros créditos,61352571138.83475
208,2014-11,2.27,Rural e agroindustrial,159898704144.52557
209,2014-11,2.27,Veículos,149233095936.3874
210,2014-12,2.21,Cartão de crédito,2905270410.4765625
211,2014-12,2.21,Empréstimo com consignação em folha,267225869970.90536
212,2014-12,2.21,Empréstimo sem consignação em folha,59625645534.034485
213,2014-12,2.21,Habitacional,606429412852.1791
214,2014-12,2.21,Outros créditos,61379157359.232834
215,2014-12,2.21,Rural e agroindustrial,163436038375.67245
216,2014-12,2.21,Veículos,149515674656.4647
217,2015-01,2.30,Cartão de crédito,2857179570.697986
218,2015-01,2.30,Empréstimo com consignação em folha,267292947443.0031
219,2015-01,2.30,Empréstimo sem consignação em folha,58953963515.91973
220,2015-01,2.30,Habitacional,613160059020.0754
221,2015-01,2.30,Outros créditos,61297766896.87584
222,2015-01,2.30,Rural e agroindustrial,162715902694.82562
223,2015-01,2.30,Veículos,147511100210.77487
224,2015-02,2.36,Cartão de crédito,2810480084.5807066
225,2015-02,2.36,Empréstimo com consignação em folha,267247421840.1377
226,2015-02,2.36,Empréstimo sem consignação em folha,58326063927.22998
227,2015-02,2.36,Habitacional,612556508638.3923
228,2015-02,2.36,Outros créditos,60690641843.52096
229,2015-02,2.36,Rural e agroindustrial,161403973988.0625
230,2015-02,2.36,Veículos,143754686152.5861
231,2015-03,2.37,Cartão de crédito,2671232869.4085655
232,2015-03,2.37,Empréstimo com consignação em folha,267306600685.61404
233,2015-03,2.37,Empréstimo sem consignação em folha,57797829739.38012
234,2015-03,2.37,Habitacional,616320853363.3358
235,2015-03,2.37,Outros créditos,60068890935.69732
236,2015-03,2.37,Rural e agroindustrial,160853482229.16562
237,2015-03,2.37,Veículos,139753697064.41
238,2015-04,2.42,Cartão de crédito,2685007187.0713463
239,2015-04,2.42,Empréstimo com consignação em folha,266287504387.26422
240,2015-04,2.42,Empréstimo sem consignação em folha,62322437444.26319
241,2015-04,2.42,Habitacional,619370121976.7747
242,2015-04,2.42,Outros créditos,59785866002.40026
243,2015-04,2.42,Rural e agroindustrial,159476069768.39594
244,2015-04,2.42,Veículos,136023017298.99329
245,2015-05,2.48,Cartão de crédito,2671195403.7278976
