,data,valor,data_divida,porte,valor_deflacionado
330,2015-06,0.79,2015-06,Mais de 3 a 5 salários mínimos,185266578036.6472
331,2015-06,0.79,2015-06,Mais de 5 a 10 salários mínimos,256549561093.44678
332,2015-06,0.79,2015-06,Sem rendimento,26890668420.87643
333,2015-07,0.62,2015-07,Acima de 20 salários mínimos,264037428196.25534
334,2015-07,0.62,2015-07,Até 1 salário mínimo,69578368320.2894
335,2015-07,0.62,2015-07,Indisponível,846839093.3199315
336,2015-07,0.62,2015-07,Mais de 1 a 2 salários mínimos,136232311536.84305
337,2015-07,0.62,2015-07,Mais de 10 a 20 salários mínimos,216680546070.18143
338,2015-07,0.62,2015-07,Mais de 2 a 3 salários mínimos,154684248118.9608
339,2015-07,0.62,2015-07,Mais de 3 a 5 salários mínimos,179834866516.156
340,2015-07,0.62,2015-07,Mais de 5 a 10 salários mínimos,255035566068.10376
341,2015-07,0.62,2015-07,Sem rendimento,31813131958.249443
342,2015-08,0.22,2015-08,Acima de 20 salários mínimos,273626412662.01083
343,2015-08,0.22,2015-08,Até 1 salário mínimo,69479972796.1633
344,2015-08,0.22,2015-08,Indisponível,833755956.2565938
345,2015-08,0.22,2015-08,Mais de 1 a 2 salários mínimos,127912557128.29205
346,2015-08,0.22,2015-08,Mais de 10 a 20 salários mínimos,218924128033.05154
347,2015-08,0.22,2015-08,Mais de 2 a 3 salários mínimos,152137561646.0208
348,2015-08,0.22,2015-08,Mais de 3 a 5 salários mínimos,183729039116.9046
349,2015-08,0.22,2015-08,Mais de 5 a 10 salários mínimos,253873488127.56708
350,2015-08,0.22,2015-08,Sem rendimento,27723619221.593464
351,2015-09,0.54,2015-09,Acima de 20 salários mínimos,275937850960.13464
352,2015-09,0.54,2015-09,Até 1 salário mínimo,72711766486.30862
353,2015-09,0.54,2015-09,Indisponível,822889813.2189866
354,2015-09,0.54,2015-09,Mais de 1 a 2 salários mínimos,127560931375.19131
355,2015-09,0.54,2015-09,Mais de 10 a 20 salários mínimos,218782964239.23172
356,2015-09,0.54,2015-09,Mais de 2 a 3 salários mínimos,152440513864.58105
357,2015-09,0.54,2015-09,Mais de 3 a 5 salários mínimos,183148326273.0362
358,2015-09,0.54,2015-09,Mais de 5 a 10 salários mínimos,252808511378.56192
359,2015-09,0.54,2015-09,Sem rendimento,28842934933.72442
360,2015-10,0.82,2015-10,Acima de 20 salários mínimos,272553640986.91678
361,2015-10,0.82,2015-10,Até 1 salário mínimo,72768414406.71146
