,data,valor,data_divida,porte,valor_deflacionado
176,2014-01,0.55,2014-01,Mais de 2 a 3 salários mínimos,127418634544.52507
177,2014-01,0.55,2014-01,Mais de 3 a 5 salários mínimos,180154755895.94223
178,2014-01,0.55,2014-01,Mais de 5 a 10 salários mínimos,228650894435.08972
179,2014-01,0.55,2014-01,Sem rendimento,42398015722.3095
180,2014-02,0.69,2014-02,Acima de 20 salários mínimos,250053969701.56033
181,2014-02,0.69,2014-02,Até 1 salário mínimo,39474233731.979576
182,2014-02,0.69,2014-02,Indisponível,1779830911.8948197
183,2014-02,0.69,2014-02,Mais de 1 a 2 salários mínimos,130660655381.79523
184,2014-02,0.69,2014-02,Mais de 10 a 20 salários mínimos,200513236852.45493
185,2014-02,0.69,2014-02,Mais de 2 a 3 salários mínimos,141857634758.2272
186,2014-02,0.69,2014-02,Mais de 3 a 5 salários mínimos,183704442347.9477
187,2014-02,0.69,2014-02,Mais de 5 a 10 salários mínimos,244402670818.02103
188,2014-02,0.69,2014-02,Sem rendimento,41537138399.86692
189,2014-03,0.92,2014-03,Acima de 20 salários mínimos,245217341996.56885
190,2014-03,0.92,2014-03,Até 1 salário mínimo,60926480269.230835
191,2014-03,0.92,2014-03,Indisponível,1684613157.4351554
192,2014-03,0.92,2014-03,Mais de 1 a 2 salários mínimos,132104565783.59363
193,2014-03,0.92,2014-03,Mais de 10 a 20 salários mínimos,201266316321.37164
194,2014-03,0.92,2014-03,Mais de 2 a 3 salários mínimos,141717260873.27518
195,2014-03,0.92,2014-03,Mais de 3 a 5 salários mínimos,182680554081.37454
196,2014-03,0.92,2014-03,Mais de 5 a 10 salários mínimos,245256904121.01746
197,2014-03,0.92,2014-03,Sem rendimento,27541903110.732483
198,2014-04,0.67,2014-04,Acima de 20 salários mínimos,248434102689.01
199,2014-04,0.67,2014-04,Até 1 salário mínimo,67583367898.13823
200,2014-04,0.67,2014-04,Indisponível,1589818809.6426601
201,2014-04,0.67,2014-04,Mais de 1 a 2 salários mínimos,131859769275.07982
202,2014-04,0.67,2014-04,Mais de 10 a 20 salários mínimos,201809962343.26562
203,2014-04,0.67,2014-04,Mais de 2 a 3 salários mínimos,142748541088.0456
204,2014-04,0.67,2014-04,Mais de 3 a 5 salários mínimos,182711449247.8532
205,2014-04,0.67,2014-04,Mais de 5 a 10 salários mínimos,246684934604.90753
206,2014-04,0.67,2014-04,Sem rendimento,27603452369.97736
207,2014-05,0.46,2014-05,Acima de 20 salários mínimos,259123106056.00327
208,2014-05,0.46,2014-05,Até 1 salário mínimo,61812921349.00323
209,2014-05,0.46,2014-05,Indisponível,1501924644.0210903
210,2014-05,0.46,2014-05,Mais de 1 a 2 salários mínimos,130125295993.45255
211,2014-05,0.46,2014-05,Mais de 10 a 20 salários mínimos,205563128784.9975
212,2014-05,0.46,2014-05,Mais de 2 a 3 salários mínimos,144042820544.21548
213,2014-05,0.46,2014-05,Mais de 3 a 5 salários mínimos,184001878327.24246
214,2014-05,0.46,2014-05,Mais de 5 a 10 salários mínimos,249844894584.5882
215,2014-05,0.46,2014-05,Sem rendimento,26955050372.122887
216,2014-06,0.4,2014-06,Acima de 20 salários mínimos,265452422840.75873
217,2014-06,0.4,2014-06,Até 1 salário mínimo,65341382625.9765
218,2014-06,0.4,2014-06,Indisponível,1426688585.025159
219,2014-06,0.4,2014-06,Mais de 1 a 2 salários mínimos,129623429926.31964
220,2014-06,0.4,2014-06,Mais de 10 a 20 salários mínimos,208481509394.40045
221,2014-06,0.4,2014-06,Mais de 2 a 3 salários mínimos,145174757296.49725
222,2014-06,0.4,2014-06,Mais de 3 a 5 salários mínimos,184763016449.1279
223,2014-06,0.4,2014-06,Mais de 5 a 10 salários mínimos,250506300014.13498
224,2014-06,0.4,2014-06,Sem rendimento,25327631749.719566
225,2014-07,0.01,2014-07,Acima de 20 salários mínimos,273139193185.23264
226,2014-07,0.01,2014-07,Até 1 salário mínimo,56770352732.6427
227,2014-07,0.01,2014-07,Indisponível,1361357909.3364432
228,2014-07,0.01,2014-07,Mais de 1 a 2 salários mínimos,128464542111.77396
229,2014-07,0.01,2014-07,Mais de 10 a 20 salários mínimos,213941059167.66934
230,2014-07,0.01,2014-07,Mais de 2 a 3 salários mínimos,146515987947.0145
231,2014-07,0.01,2014-07,Mais de 3 a 5 salários mínimos,185968260443.21548
232,2014-07,0.01,2014-07,Mais de 5 a 10 salários mínimos,254940612400.33795
233,2014-07,0.01,2014-07,Sem rendimento,26556782243.88984
234,2014-08,0.25,2014-08,Acima de 20 salários mínimos,269885386215.12872
235,2014-08,0.25,2014-08,Até 1 salário mínimo,36818292103.49937
236,2014-08,0.25,2014-08,Indisponível,1312683809.852798
237,2014-08,0.25,2014-08,Mais de 1 a 2 salários mínimos,129739353337.20352
238,2014-08,0.25,2014-08,Mais de 10 a 20 salários mínimos,214609626066.39807
239,2014-08,0.25,2014-08,Mais de 2 a 3 salários mínimos,148009915914.01468
240,2014-08,0.25,2014-08,Mais de 3 a 5 salários mínimos,187253618290.0739
241,2014-08,0.25,2014-08,Mais de 5 a 10 salários mínimos,256663050892.913
242,2014-08,0.25,2014-08,Sem rendimento,55193561005.56479
243,2014-09,0.57,2014-09,Acima de 20 salários mínimos,272991055290.73306
244,2014-09,0.57,2014-09,Até 1 salário mínimo,65802177819.75344
245,2014-09,0.57,2014-09,Indisponível,1260637760.539235
246,2014-09,0.57,2014-09,Mais de 1 a 2 salários mínimos,128667214019.83357
247,2014-09,0.57,2014-09,Mais de 10 a 20 salários mínimos,215978872691.15723
248,2014-09,0.57,2014-09,Mais de 2 a 3 salários mínimos,148552183700.19263
249,2014-09,0.57,2014-09,Mais de 3 a 5 salários mínimos,186988766131.0095
250,2014-09,0.57,2014-09,Mais de 5 a 10 salários mínimos,256277628075.12262
251,2014-09,0.57,2014-09,Sem rendimento,28040631303.349483
252,2014-10,0.42,2014-10,Acima de 20 salários mínimos,274341623986.08087
253,2014-10,0.42,2014-10,Até 1 salário mínimo,69418652067.51878
254,2014-10,0.42,2014-10,Indisponível,1202361785.4427993
255,2014-10,0.42,2014-10,Mais de 1 a 2 salários mínimos,129943744049.34454
256,2014-10,0.42,2014-10,Mais de 10 a 20 salários mínimos,218369082064.51453
257,2014-10,0.42,2014-10,Mais de 2 a 3 salários mínimos,150185714296.44574
258,2014-10,0.42,2014-10,Mais de 3 a 5 salários mínimos,188386209885.85385
259,2014-10,0.42,2014-10,Mais de 5 a 10 salários mínimos,259046751052.49115
260,2014-10,0.42,2014-10,Sem rendimento,28421393800.507206
261,2014-11,0.51,2014-11,Acima de 20 salários mínimos,275965108097.07385
262,2014-11,0.51,2014-11,Até 1 salário mínimo,75785233344.50076
263,2014-11,0.51,2014-11,Indisponível,1145702641.1865234
264,2014-11,0.51,2014-11,Mais de 1 a 2 salários mínimos,148350291034.28986
265,2014-11,0.51,2014-11,Mais de 10 a 20 salários mínimos,217928556599.9325
266,2014-11,0.51,2014-11,Mais de 2 a 3 salários mínimos,147586337823.20386
267,2014-11,0.51,2014-11,Mais de 3 a 5 salários mínimos,179592795836.99527
268,2014-11,0.51,2014-11,Mais de 5 a 10 salários mínimos,254122697038.4899
269,2014-11,0.51,2014-11,Sem rendimento,29200026886.254173
270,2014-12,0.78,2014-12,Acima de 20 salários mínimos,287349328031.20264
271,2014-12,0.78,2014-12,Até 1 salário mínimo,76912781660.0315
272,2014-12,0.78,2014-12,Indisponível,1093971679.7087753
273,2014-12,0.78,2014-12,Mais de 1 a 2 salários mínimos,130947905982.06105
274,2014-12,0.78,2014-12,Mais de 10 a 20 salários mínimos,221600146812.48413
275,2014-12,0.78,2014-12,Mais de 2 a 3 salários mínimos,151125339722.35754
276,2014-12,0.78,2014-12,Mais de 3 a 5 salários mínimos,186862795826.11606
277,2014-12,0.78,2014-12,Mais de 5 a 10 salários mínimos,260859843323.1069
278,2014-12,0.78,2014-12,Sem rendimento,28978407208.879875
279,2015-01,1.24,2015-01,Acima de 20 salários mínimos,277853369909.37115
280,2015-01,1.24,2015-01,Até 1 salário mínimo,84162695053.08797
281,2015-01,1.24,2015-01,Indisponível,1050154379.0562289
282,2015-01,1.24,2015-01,Mais de 1 a 2 salários mínimos,135261794016.34851
283,2015-01,1.24,2015-01,Mais de 10 a 20 salários mínimos,219031188719.7766
284,2015-01,1.24,2015-01,Mais de 2 a 3 salários mínimos,152599941555.76324
