data_base,a_vencer_ate_90_dias,a_vencer_de_91_ate_360_dias,a_vencer_de_361_ate_1080_dias,a_vencer_de_1081_ate_1800_dias,a_vencer_de_1801_ate_5400_dias,a_vencer_acima_de_5400_dias,vencido_acima_de_15_dias,carteira_ativa,carteira_inadimplida_arrastada,ativo_problematico
2015-04-30,512298699025.09985,676122904036.4998,775203745674.34,367080583981.68005,474738128384.02,129912924326.42,66392663179.68,3001749648607.7407,74536731014.77,168446760283.79004
2015-10-31,497803383138.48004,698678255480.05,784182639379.2301,386662852046.3301,499981766473.26,146402976682.25998,74778159184.29,3088490032383.9004,84178287707.19998,186940247850.91003
2015-06-30,513436392907.19995,683786828660.45,777962214029.74,379316897323.5399,477967101411.7699,135780313467.98999,68424348448.649994,3036674096249.339,74182093914.55998,173880161388.33
2015-12-31,510756057343.59,718147614404.84,789547691559.8501,393621881881.95,512926674117.8401,152390360145.2,76091749703.87,3153482029157.14,87971581746.04002,200454345304.80002
2015-07-31,504044344167.8,679428079950.0101,784450571552.5,383581990124.17993,482858461811.29,138831915265.45996,70042363316.32999,3043237726187.5703,77057635633.87001,175843506963.58997
2015-09-30,511565449861.84985,692415025230.0599,781430992011.7899,390736351338.25,502009309297.6999,143796722929.67993,72925165305.19,3094879015974.5195,81868673436.14,184932764663.69998
2015-08-31,506036557300.33997,686176235451.6902,792220098896.46,379153192214.7901,488477148316.97986,140878369387.63998,72975695728.29001,3065917297296.1895,81596462305.75998,181322856806.78003
2016-02-29,502168227579.83997,696002640103.1099,782736292341.81,390731371978.54,512518735303.57007,152433561607.75003,81815273922.11002,3118406102836.7305,93239206372.87,210076046267.98004
2016-03-31,515543761778.45,675434884967.0802,785645982942.0302,381740007335.55,508690984780.7899,151856931164.38995,83312471984.05,3102225024952.3403,92406464394.76,212258067583.13
2016-01-31,500852785345.15,705611141547.2799,789547307929.4298,387200883908.4799,513077492604.8299,152214227262.26,80429162371.38002,3128933000968.8105,90384154509.27,201065959217.49008
2016-04-30,517626226746.1301,659874745376.57,784737036634.63,383038354977.5299,503412839248.3,152711698235.16995,85687021141.08002,3087087922359.41,96925950745.23999,218476223178.04996
2016-10-31,504334625082.9801,671473154071.63,765516818120.2799,368915954148.24,507529834750.65,154668902162.24997,86085215135.75998,3058524503471.7896,102230908056.61002,245918256864.42
2016-11-30,499448820933.4099,681622994762.4902,762294258569.5499,371383452345.43005,508804039703.56995,156069069403.76996,83025024054.39,3062647659772.6094,98379194062.15005,244554052679.37
2016-05-31,511826879631.6801,661607139874.68,790278291759.0701,375690839608.89996,506701862546.7301,153424564144.18002,86667249397.15,3086196826962.39,98075139205.77003,223210036688.08
2016-07-31,503957174466.38983,665369191717.6001,791571622079.8201,369878478537.23004,506422378671.15,154069440997.72998,87809864616.18,3079078151086.1,95455205453.17001,238341983430.30997
2016-06-30,514956334149.37,664095944495.2299,792354562074.4697,376021530015.63995,503837913088.68005,153772500408.53995,88856526585.94,3093895310817.8696,94087948037.14,232354947242.17996
2016-12-31,501800396531.99994,691574225990.7601,767063195033.9099,361936107760.32996,500026901475.51996,156778936425.46002,82651735501.22998,3061831498719.2095,95682684659.29,246103034872.38992
2016-08-31,510738703896.52997,664530969482.01,789025206904.4899,371172327688.72015,503109532636.5999,154912534418.91,88654017323.98001,3082143292351.24,98240797621.22,240149582746.85995
2016-09-30,512987613508.79004,659697383370.02,770940764969.0701,376323726206.3901,514062960318.86017,155249570181.83002,86639863778.11998,3075901882333.08,98662220343.16002,241821646989.75003
2017-01-31,487968579139.77997,685351491765.64,765775518356.3699,355525921222.65,495733110176.6,156986109688.45,86495245825.96997,3033835976175.4604,95510344279.45001,244784446287.18008
2017-02-28,497682224970.76996,671028777105.3202,761082172538.49,359762562563.01996,497470173853.12994,156804241317.09,86392531678.19998,3030222684026.019,99041040910.00996,248618418665.58002
2017-03-31,520918032714.31006,658049523561.8198,763321999513.2,357876112205.78,498577718609.29,156855193645.70993,85441262208.11002,3041039842458.2207,102205919789.81,244790652869.6
2017-07-31,479867469810.36017,649399891289.6799,768333388497.4802,355713958144.87006,509454592825.7399,158034227151.58002,77003304894.56001,2997806832614.2695,95215232996.17003,243245699822.04004
2017-06-30,507465665452.16,658007725073.9,769702309133.33,357606474274.68005,506209555709.8199,158740343896.62,77720555227.38998,3035452628767.8994,96378213686.96996,244328991343.04013
2017-12-31,490027956472.4599,685782420577.8799,751247619681.5399,359133930032.67993,512278299177.66,159686226716.28,72675175707.50002,3030831628366.0,87646536843.17998,237458931975.52994
2017-04-30,520178346378.4501,645549477068.26,762248188083.5901,358236457319.16003,502258754457.3501,157227690722.12,83331962843.59999,3029030876872.5303,104018863550.22003,246785368112.33002
2017-10-31,489193389371.5701,657671663465.6298,755328690983.1602,356915127252.38,507955489142.02014,158336144667.57996,75293171178.26999,3000693676060.6104,95357387303.58,243361925362.55997
2017-11-30,488311235418.5599,667845415864.6798,750128720209.9,364095947467.38007,506924400794.1998,157727164337.69995,75938533561.38997,3010971417653.8086,94536264267.70003,239549787474.67004
2017-05-31,511164948871.7201,648971799872.0399,775151303290.3999,346789714876.32983,503808777470.37994,157495871962.83002,85941977093.24,3029324393436.94,107559334677.28995,251537423953.36987
2017-08-31,487189423206.1,649927087838.19,758353234999.8401,360480727244.2299,509313912298.8402,158660695627.00998,76442163673.86002,3000367244888.069,96235394319.62,243010184341.3999
2017-09-30,495820260337.81006,645207565904.4902,754508864794.5498,357021744881.55,508991993974.0299,161433796867.40002,75628346071.79999,2998612572831.631,93441856842.23,243061675416.85
2018-08-31,526295386795.7998,674750656560.8201,753160282015.98,369554349282.89,545645826244.71,168965776734.07996,69240207813.57999,3107612485447.8594,83258085603.68999,228992164456.55
2018-09-30,530028434917.39,672900365887.65,749704938941.8698,373534864378.4001,546565466912.69,169987288944.24002,66727503239.88999,3109448863222.1304,84482888301.57004,228944341982.02005
2018-10-31,522231655927.21,681465741609.9498,754857471370.9501,369057331312.17993,544790858208.66003,169583055770.43,67968837164.100006,3109954951363.4805,83899324652.70999,229963124342.3
2018-04-30,532386194791.87994,654463803491.3402,736995525515.43,359019736980.29004,527193467670.8299,164804562449.59003,71128748654.23999,3045992039553.6006,88413353025.40004,234589117568.34
2018-05-31,536464852533.28986,652660963099.0201,740066771918.8301,360141157909.8301,532578458127.86993,165854858848.34998,71942950636.92003,3059710013074.1104,89460907569.12,230861871862.99
2018-11-30,536694111726.95996,700514211819.1997,752954737762.1599,371423553045.06995,549184370057.45996,168293139477.59,69421621894.58002,3148485745783.019,82496443469.56998,230290279685.1401
2018-07-31,523420335084.27,667206465699.1403,745570483232.9303,362821715790.7701,536463852783.6,167889230467.99997,69338638999.99997,3072710722058.71,82309899790.15999,227355754781.16003
2018-12-31,563177911371.3501,716553211363.1698,761606761000.8401,368731021105.21,556633280579.75,169941508500.95007,66052023481.72997,3202695717403.0005,80126001223.96999,230316607327.44006
2018-06-30,533461083663.5899,661584387328.7402,741689701394.3397,365136282896.68,536790735266.95996,167097898200.57996,71891085825.43004,3077651174576.3193,82595288470.94,227058591536.30997
2018-02-28,502226660295.2999,667443782657.2802,730108130992.11,359790510634.9898,519572218373.83997,164767606305.72998,73613166244.30998,3017522075503.56,92615728040.01001,237306879430.75006
2018-03-31,530672829868.1602,659706796344.93,733660664042.62,352781357650.35004,522851783903.0002,164879018005.5,73154958059.34998,3037707407873.9106,89375350378.67001,234430356133.57993
2018-01-31,499142242170.0999,671827439000.34,747833744721.3401,355729239905.37006,508772961634.53015,163207169639.94,75071764255.03,3021584561326.65,92383575340.37,238895252026.76996
2019-08-31,579038375456.1401,731325009519.4199,789345938617.3501,378112001128.58,556351757911.18,166376275021.94,71304257991.50002,3271853615646.1104,88640683644.33,239360015981.12
2019-09-30,601740526078.1998,737194414793.52,794326380992.7301,384451873067.77,563233668615.3402,166167092203.33008,71520541525.68001,3318634497276.5693,89024804962.75,242184047596.77
2019-07-31,585956577748.2401,717310213856.0499,780523409757.0203,370474928613.1202,552373340807.08,165940615127.79004,70109222710.67001,3242688308619.97,86567248272.94995,236038230578.09003
2019-12-31,600852988571.1702,792847737141.0201,819403370002.0802,390386810143.0599,577246566721.6499,158967581255.1601,70941995062.09004,3410647048896.23,87589613659.94003,248051389673.61002
2019-06-30,576556745399.4099,715478322135.3501,769837318428.45,370100317948.8901,554738917223.5203,177039497761.25003,68475791389.12,3232226910285.99,83978057501.47002,235795535294.71005
2019-10-31,577375796418.6101,752283209017.8896,806665168064.1097,388638542022.39014,566486580360.9402,156471858996.39,71770783170.11002,3319691938050.4404,88590126850.17,240452729842.00003
2019-04-30,588538711860.7301,696399043942.95,764033669035.2699,369314766710.2801,554151036282.5499,176166608025.04,67520242233.420006,3216124078090.24,83853753312.00998,238336359005.47003
2019-05-31,585397364595.3202,707999537615.2098,770705049542.38,368825988135.14996,557176297197.8701,176542554207.30002,69798131037.59,3236444922330.821,85535553018.23003,240669649515.50998
2019-11-30,594472871233.1797,768635273009.92,812763806022.8804,393317207342.02997,573752943969.98,158192850056.41,72607925166.85,3373742876801.251,88849666353.47,241878256184.04004
2019-01-31,549990825277.25,700416864451.16,759585171990.8002,372072358206.82,546592684719.49976,173815230147.21994,67588715502.85,3170061850295.6006,82330267438.25002,234821788099.26
2019-02-28,554896279079.66,701227833967.5999,758541022237.3099,371059761871.99005,551234763560.8401,175249992210.14996,65200900340.71999,3177410553268.27,80812950830.78,234412428959.09998
2019-03-31,595826221098.1501,691740501772.2198,763930591400.9103,364941698357.51996,552715518105.5702,176016200947.72,68507072377.09,3213677804059.18,83264891820.19002,237289381269.06003
2020-09-30,564689704455.05,874278105671.5999,1000041645442.5498,459979892545.5101,632268239027.32,168072217644.98007,61194341611.58001,3760524146398.5903,78590734756.95001,267359743174.87
2020-08-31,551145083348.2499,865022603973.33,959995181851.4501,448657558695.1698,623648143802.6998,167742483421.79,66244833782.87002,3682455888875.5596,85920868996.55998,270961896111.8699
2020-03-31,626306130528.8298,787416202456.47,856049421419.5198,415907301777.89014,586002027805.51,159394318589.88,78136271135.29001,3509211673713.39,101212384200.73003,258865772355.00998
2020-02-29,631114576925.9602,763854062535.91,816917407149.05,399420992601.9899,574859603613.8397,157931451979.62006,74795111833.69,3418893206640.0586,91826572546.02002,247448391295.55994
2020-01-31,601550133821.7598,773094875945.6104,823221748899.9001,397626864484.3799,577212115614.9701,157860942793.33997,73272766593.30005,3403839448153.2603,91213151467.37003,248120326417.56006
2020-05-31,559707975822.2899,824147956618.0203,882964971248.18,423205244020.00995,601435865914.7902,161196740087.11,78550169654.93999,3531208923365.339,102428030739.81,268343493319.05
2020-11-30,588040144329.6699,915888063631.2397,1051311258294.8203,480197925725.0,647264131842.6503,172141963051.8,57478915938.93001,3912322402814.1094,74758024204.11998,269322714557.55002
2020-10-31,572923416448.8501,889646286586.9398,1026058165429.5696,469675011467.83,640118109158.8102,170240984404.48007,60439149198.55001,3829101122695.031,77312203317.36,265482048996.81998
2020-04-30,579544976231.83,810028979847.7899,871808956896.2097,422413450714.7399,593532835795.4398,159699698605.68994,81857197591.50998,3518886095683.2114,104129281042.25003,265964329169.39996
2020-12-31,622797986027.8098,911964530021.4099,1069504962557.2302,482274401180.64,654925408297.3899,174555500773.00998,55662992898.40001,3971685781755.889,72412268155.84001,268551885798.74
2020-06-30,558126599226.2198,836266397842.4,906074533583.8701,428431124670.7701,611997244331.6201,164511543260.77994,71188278888.36,3576595721804.019,91424828855.06999,268213114041.36996
2020-07-31,543714322063.60004,846711150838.3698,936503154213.92,438261832607.07007,617390250207.4801,164978672013.94003,67882277633.52002,3615441659577.9004,87539104304.54999,272845935147.84003
2021-09-30,754506975000.57,995678498026.7595,1136338607701.2292,521931382290.4399,735487003385.95,190829927559.17,62413080935.46002,4397185474899.58,87267497227.94998,268576314113.83997
2021-08-31,729663809728.3098,970138977266.95,1124564022967.95,506770108754.32007,723484981135.7803,189344638559.11996,60852281967.450005,4304818820379.8794,84303846330.28,265767921928.80008
2021-01-31,643058600617.8497,893591222877.6401,1069064827284.4802,481426907757.61993,656703846712.1599,175399551710.84998,55886845720.56002,3975131802681.159,73941520811.17,268703488836.62006
2021-03-31,685194318460.6897,901363048217.6699,1082875923855.3401,481553951726.37024,676259532579.1302,178358562385.67996,55299238330.91001,4060904575555.789,75755201972.70998,267932829886.28995
2021-02-28,667865001410.3501,884125805979.67,1073293984938.5602,481027776608.7299,664718748177.11,176373488478.2,54884840678.009995,4002289646270.631,77543876150.40999,268543924783.68988
2021-12-31,826680702828.7203,1073036610311.1595,1169363696945.9302,530484415832.87006,759695664306.9398,195872184977.82,70245619185.28001,4625378894388.721,92901002539.45003,282250633197.09
2021-06-30,713676196573.4502,931867489449.7897,1094105071329.5199,493544608468.75006,693877981130.68,184384849419.63,62670588151.74998,4174126784523.571,82362422917.12003,265547864616.31
