cnae_secao,Entrada,Nascimento,Reentrada,Saída de atividade,Sobrevivente,Total de empresas ativas,data_base,carteira_ativa,ativo_problematico,Seção CNAE e ano,Saída de atividade/Total
"Atividades financeiras, de seguros e serviços relacionados",17366.0,12802.0,4564.0,12616.0,68522.0,85888.0,2016,76648154650.49,8476516704.280001,"Atividades financeiras, de seguros e serviços relacionados (2016)",0.14688897168405365
Atividades imobiliárias,16251.0,11589.0,4662.0,12177.0,67000.0,83251.0,2016,23822662815.95,2663598442.07,Atividades imobiliárias (2016),0.14626851329113164
"Atividades profissionais, científicas e técnicas",53944.0,39612.0,14332.0,43502.0,224685.0,278629.0,2016,17916654994.92,2838914872.12,"Atividades profissionais, científicas e técnicas (2016)",0.15612875903082593
Atividades administrativas e serviços complementares,49320.0,35710.0,13610.0,50654.0,235271.0,284591.0,2016,52625752499.4,4855816938.53,Atividades administrativas e serviços complementares (2016),0.17798876282103088
"Administração pública, defesa e seguridade social",27.0,18.0,9.0,65.0,172.0,199.0,2016,128342138668.3,1575441344.19,"Administração pública, defesa e seguridade social (2016)",0.32663316582914576
Educação,14743.0,11054.0,3689.0,13054.0,86566.0,101309.0,2016,9040289532.06,719065872.21,Educação (2016),0.1288533101698763
Saúde humana e serviços sociais,30341.0,24443.0,5898.0,16928.0,146205.0,176546.0,2016,17643566069.94,912213695.49,Saúde humana e serviços sociais (2016),0.09588435875069387
"Artes, cultura, esporte e recreação",8858.0,6375.0,2483.0,9090.0,41775.0,50633.0,2016,3480994506.59,506350328.59000003,"Artes, cultura, esporte e recreação (2016)",0.1795271858274248
Outras atividades de serviços,15928.0,11359.0,4569.0,19622.0,85876.0,101804.0,2016,24609483359.84,757408863.91,Outras atividades de serviços (2016),0.19274291776354563
Indústrias extrativas,1315.0,859.0,456.0,1510.0,8752.0,10067.0,2017,22569222744.71,673003143.46,Indústrias extrativas (2017),0.1499950332770438
Indústrias de transformação,43697.0,31387.0,12310.0,54692.0,354468.0,398165.0,2017,356437165129.61,28491070269.57,Indústrias de transformação (2017),0.13736013964060126
Eletricidade e gás,612.0,378.0,234.0,364.0,2012.0,2624.0,2017,154503369543.19,4424314960.41,Eletricidade e gás (2017),0.13871951219512196
"Água, esgoto, atividades de gestão de resíduos e descontaminação",1723.0,1280.0,443.0,1639.0,9011.0,10734.0,2017,18542316461.56,742306008.86,"Água, esgoto, atividades de gestão de resíduos e descontaminação (2017)",0.15269237935531954
